from,to,source_essential,target_essential,edge_type
SPD_1372,asnS,n,y,N-E
spr1398,asnS,n,y,N-E
gatC,asnS,y,y,E-E
gatB,asnS,y,y,E-E
aspC,asnS,n,y,N-E
spr1471,thrS,n,y,N-E
rnc,thrS,n,y,N-E
tyrS,thrS,y,y,E-E
alaS,thrS,n,y,N-E
SPD_0946,lysS,n,y,N-E
tyrS,lysS,y,y,E-E
asnS,lysS,y,y,E-E
thrS,lysS,y,y,E-E
SPD_1940,aspS,n,n,N-N
gatB,aspS,y,n,E-N
SPD_1706,cysS,n,n,N-N
SPD_0517,cysS,n,n,N-N
SPD_0514,cysS,n,n,N-N
mrnC,cysS,n,n,N-N
pnp,cysS,n,n,N-N
tyrS,cysS,y,n,E-N
nusG,cysS,n,n,N-N
thrS,cysS,y,n,E-N
SPD_0493,valS,n,n,N-N
SPD_0492,valS,n,n,N-N
SPD_0491,valS,n,n,N-N
thrS,valS,y,n,E-N
aspS,valS,n,n,N-N
cysS,valS,n,n,N-N
eep,proS,y,y,E-E
cdsA,proS,n,y,N-E
asnS,proS,y,y,E-E
lysS,proS,y,y,E-E
aspS,proS,n,y,N-E
valS,proS,n,y,N-E
araD,rpe,n,y,N-E
recP-1,rpe,n,y,N-E
SPD_1778,rpe,n,y,N-E
rsgA,rpe,n,y,N-E
SPD_1779,rpe,n,y,N-E
pgk,rpe,y,y,E-E
eno,rpe,y,y,E-E
SPD_1333,zwf,n,n,N-N
gpmA,zwf,y,n,E-N
SPD_1496,zwf,n,n,N-N
eno,zwf,y,n,E-N
fba,zwf,y,n,E-N
gapN,zwf,n,n,N-N
gdhA,zwf,n,n,N-N
SPD_0344,gnd,n,n,N-N
SPD_1333,gnd,n,n,N-N
rpe,gnd,y,n,E-N
zwf,gnd,n,n,N-N
recP-1,gap,n,n,N-N
ackA,gap,n,n,N-N
deoC,gap,n,n,N-N
SPD_0457,gap,n,n,N-N
pgk,gap,y,n,E-N
tuf,gap,y,n,E-N
gpmA,gap,y,n,E-N
eno,gap,y,n,E-N
fba,gap,y,n,E-N
gapN,gap,n,n,N-N
zwf,gap,n,n,N-N
deoC,tpiA,n,y,N-E
fucA,tpiA,n,y,N-E
pgk,tpiA,y,y,E-E
gpmA,tpiA,y,y,E-E
eno,tpiA,y,y,E-E
fba,tpiA,y,y,E-E
gapN,tpiA,n,y,N-E
zwf,tpiA,n,y,N-E
gap,tpiA,n,y,N-E
SPD_0886,lpdA,n,n,N-N
SPD_0572,lpdA,n,n,N-N
gdhA,lpdA,n,n,N-N
SP_1173,gldA,n,n,N-N
fni,mvaS,n,y,N-E
mvaD,mvaS,n,y,N-E
mvaK2,mvaS,n,y,N-E
SPD_1536,mvaS,y,y,E-E
mvk,mvaS,y,y,E-E
ispA,mvaS,n,y,N-E
rpe,talC,y,n,E-N
zwf,talC,n,n,N-N
gnd,talC,n,n,N-N
gap,talC,n,n,N-N
tpiA,talC,y,n,E-N
gldA,talC,n,n,N-N
lacT,lacF-2,n,n,N-N
lacA,lacF-2,n,n,N-N
lacG-2,lacF-2,n,n,N-N
lacG-1,lacF-2,n,n,N-N
lacG-2,lacF-1,n,n,N-N
lacG-1,lacF-1,n,n,N-N
SPD_0425,lacF-1,n,n,N-N
lacF-2,lacF-1,n,n,N-N
SPD_1582,SPD_0247,y,n,E-N
scrB,SPD_0247,n,n,N-N
SPD_0941,SPD_0247,n,n,N-N
SPD_1830,SPD_0247,n,n,N-N
licT,bglA-2,n,n,N-N
SPD_1582,bglA-2,y,n,E-N
scrB,bglA-2,n,n,N-N
SPD_0941,bglA-2,n,n,N-N
SPD_1830,bglA-2,n,n,N-N
SPD_0247,bglA-2,n,n,N-N
SPD_1582,bglA-1,y,n,E-N
scrB,bglA-1,n,n,N-N
SPD_0941,bglA-1,n,n,N-N
SPD_1830,bglA-1,n,n,N-N
SPD_0247,bglA-1,n,n,N-N
bglA-2,bglA-1,n,n,N-N
SPD_0282,SPD_0281,n,n,N-N
SPD_0280,SPD_0281,n,n,N-N
SPD_0247,SPD_0281,n,n,N-N
bglA-2,SPD_0281,n,n,N-N
bglA-1,SPD_0281,n,n,N-N
lacT,lacE-2,n,n,N-N
lacA,lacE-2,n,n,N-N
lacG-2,lacE-2,n,n,N-N
lacG-1,lacE-2,n,n,N-N
lacF-2,lacE-2,n,n,N-N
lacF-1,lacE-2,n,n,N-N
SPD_0281,lacE-2,n,n,N-N
lacG-2,lacE-1,n,n,N-N
lacG-1,lacE-1,n,n,N-N
SPD_0425,lacE-1,n,n,N-N
lacF-2,lacE-1,n,n,N-N
lacF-1,lacE-1,n,n,N-N
SPD_0281,lacE-1,n,n,N-N
lacE-2,lacE-1,n,n,N-N
SPD_1830,SPD_1833,n,n,N-N
SPD_0247,SPD_1833,n,n,N-N
bglA-2,SPD_1833,n,n,N-N
bglA-1,SPD_1833,n,n,N-N
SPD_0281,SPD_1833,n,n,N-N
lacE-2,SPD_1833,n,n,N-N
lacE-1,SPD_1833,n,n,N-N
SPD_0282,SPD_0283,n,n,N-N
SPD_0280,SPD_0283,n,n,N-N
lacF-2,SPD_0283,n,n,N-N
lacF-1,SPD_0283,n,n,N-N
SPD_0247,SPD_0283,n,n,N-N
bglA-2,SPD_0283,n,n,N-N
bglA-1,SPD_0283,n,n,N-N
SPD_0281,SPD_0283,n,n,N-N
SPD_1833,SPD_0283,n,n,N-N
SPD_0282,SPD_0279,n,n,N-N
SPD_0280,SPD_0279,n,n,N-N
SPD_0247,SPD_0279,n,n,N-N
bglA-2,SPD_0279,n,n,N-N
bglA-1,SPD_0279,n,n,N-N
SPD_0281,SPD_0279,n,n,N-N
SPD_1833,SPD_0279,n,n,N-N
SPD_0283,SPD_0279,n,n,N-N
SPD_1829,SPD_1831,n,n,N-N
SPD_1830,SPD_1831,n,n,N-N
lacF-2,SPD_1831,n,n,N-N
lacF-1,SPD_1831,n,n,N-N
SPD_0247,SPD_1831,n,n,N-N
bglA-2,SPD_1831,n,n,N-N
bglA-1,SPD_1831,n,n,N-N
SPD_0281,SPD_1831,n,n,N-N
SPD_1833,SPD_1831,n,n,N-N
SPD_0283,SPD_1831,n,n,N-N
SPD_0279,SPD_1831,n,n,N-N
lacG-1,SPD_0424,n,n,N-N
SPD_0425,SPD_0424,n,n,N-N
lacF-2,SPD_0424,n,n,N-N
lacF-1,SPD_0424,n,n,N-N
SPD_0247,SPD_0424,n,n,N-N
bglA-2,SPD_0424,n,n,N-N
bglA-1,SPD_0424,n,n,N-N
SPD_0281,SPD_0424,n,n,N-N
SPD_1833,SPD_0424,n,n,N-N
SPD_0283,SPD_0424,n,n,N-N
SPD_0279,SPD_0424,n,n,N-N
SPD_1831,SPD_0424,n,n,N-N
SPD_1830,SPD_1832,n,n,N-N
lacF-2,SPD_1832,n,n,N-N
lacF-1,SPD_1832,n,n,N-N
SPD_0247,SPD_1832,n,n,N-N
bglA-2,SPD_1832,n,n,N-N
bglA-1,SPD_1832,n,n,N-N
SPD_0281,SPD_1832,n,n,N-N
SPD_1833,SPD_1832,n,n,N-N
SPD_0283,SPD_1832,n,n,N-N
SPD_0279,SPD_1832,n,n,N-N
SPD_1831,SPD_1832,n,n,N-N
SPD_0424,SPD_1832,n,n,N-N
lacF-2,SPD_0233,n,n,N-N
lacF-1,SPD_0233,n,n,N-N
SPD_0247,SPD_0233,n,n,N-N
bglA-2,SPD_0233,n,n,N-N
bglA-1,SPD_0233,n,n,N-N
SPD_0281,SPD_0233,n,n,N-N
SPD_1833,SPD_0233,n,n,N-N
SPD_0283,SPD_0233,n,n,N-N
SPD_0279,SPD_0233,n,n,N-N
SPD_1831,SPD_0233,n,n,N-N
SPD_0424,SPD_0233,n,n,N-N
SPD_1832,SPD_0233,n,n,N-N
lacF-2,SPD_0234,n,n,N-N
lacF-1,SPD_0234,n,n,N-N
SPD_0247,SPD_0234,n,n,N-N
bglA-2,SPD_0234,n,n,N-N
bglA-1,SPD_0234,n,n,N-N
SPD_0281,SPD_0234,n,n,N-N
SPD_1833,SPD_0234,n,n,N-N
SPD_0283,SPD_0234,n,n,N-N
SPD_0279,SPD_0234,n,n,N-N
SPD_1831,SPD_0234,n,n,N-N
SPD_0424,SPD_0234,n,n,N-N
SPD_1832,SPD_0234,n,n,N-N
SPD_0233,SPD_0234,n,n,N-N
SPD_0247,SPD_0232,n,n,N-N
bglA-2,SPD_0232,n,n,N-N
bglA-1,SPD_0232,n,n,N-N
SPD_0281,SPD_0232,n,n,N-N
lacE-2,SPD_0232,n,n,N-N
lacE-1,SPD_0232,n,n,N-N
SPD_1833,SPD_0232,n,n,N-N
SPD_0283,SPD_0232,n,n,N-N
SPD_0279,SPD_0232,n,n,N-N
SPD_1831,SPD_0232,n,n,N-N
SPD_0424,SPD_0232,n,n,N-N
SPD_1832,SPD_0232,n,n,N-N
SPD_0233,SPD_0232,n,n,N-N
SPD_0234,SPD_0232,n,n,N-N
SPD_1970,SPD_0773,y,n,E-N
SPD_1488,SPD_0773,n,n,N-N
SPD_1162,SPD_0773,n,n,N-N
lacR2,SPD_0773,n,n,N-N
SPD_1996,SPD_0773,n,n,N-N
lacR1,SPD_0773,n,n,N-N
glpO,SPD_0773,n,n,N-N
SPD_0698,SPD_0773,n,n,N-N
SPD_1487,SPD_0773,n,n,N-N
SPD_1961,SPD_0773,n,n,N-N
lacA,SPD_0773,n,n,N-N
1-phosphofructokinase,SPD_0773,n,n,N-N
ptsI,SPD_0773,n,n,N-N
mtlA,SPD_0773,y,n,E-N
SPD_1496,SPD_0773,n,n,N-N
fba,SPD_0773,y,n,E-N
mtlA2,SPD_0773,n,n,N-N
SPD_0280,SPD_0773,n,n,N-N
rpe,SPD_0773,y,n,E-N
lacE-2,SPD_0773,n,n,N-N
lacE-1,SPD_0773,n,n,N-N
SPD_0773,SPD_0230,n,n,N-N
SPD_0231,SPD_0230,n,n,N-N
ppaC,pflB,y,n,E-N
ackA,pflB,n,n,N-N
SPD_1113,pflB,n,n,N-N
lpdA,pflB,n,n,N-N
mvaS,pflB,y,n,E-N
SPD_0230,SPD_0229,n,n,N-N
pflB,SPD_0229,n,n,N-N
SPD_0424,SPD_0423,n,n,N-N
SPD_0773,SPD_0423,n,n,N-N
fucU,fucK,y,y,E-E
araD,fucK,n,y,N-E
fucI,fucK,n,y,N-E
SPD_1996,fucK,n,y,N-E
fucA,fucK,n,y,N-E
SPD_0773,fucK,n,y,N-E
SPD_1674,rafF,n,n,N-N
SPD_1493,rafF,n,n,N-N
SPD_1500,rafF,n,n,N-N
SPD_1583,rafF,n,n,N-N
malD,rafF,n,n,N-N
pulA,gtfA,n,n,N-N
SPD_0887,gtfA,n,n,N-N
malQ,gtfA,n,n,N-N
malP,gtfA,n,n,N-N
SPD_1582,gtfA,y,n,E-N
scrB,gtfA,n,n,N-N
rafF,gtfA,n,n,N-N
SPD_1674,rafG,n,n,N-N
SPD_1494,rafG,n,n,N-N
rafF,rafG,n,n,N-N
gtfA,rafG,n,n,N-N
SPD_1674,rafE,n,n,N-N
rafF,rafE,n,n,N-N
gtfA,rafE,n,n,N-N
rafG,rafE,n,n,N-N
SPD_0423,msmR,n,n,N-N
fucK,msmR,y,n,E-N
rafF,msmR,n,n,N-N
gtfA,msmR,n,n,N-N
rafG,msmR,n,n,N-N
rafE,msmR,n,n,N-N
SP_0571,SP_0574,n,n,N-N
SP_0573,SP_0574,n,n,N-N
SP_0574,SP_1832,n,n,N-N
SP_0574,SP_1831,n,n,N-N
SP_0771,SP_0575,n,n,N-N
SP_1538,SP_0575,n,n,N-N
SP_1504,SP_0575,n,n,N-N
SP_0908,SP_0575,n,n,N-N
SP_1523,SP_0575,n,n,N-N
SP_0571,SP_0575,n,n,N-N
SP_0574,SP_0575,n,n,N-N
SP_1832,SP_0575,n,n,N-N
SP_1831,SP_0575,n,n,N-N
SP_1826,SP_0243,n,n,N-N
SP_0574,SP_0243,n,n,N-N
SP_1832,SP_0243,n,n,N-N
SP_1831,SP_0243,n,n,N-N
SP_0575,SP_0243,n,n,N-N
SP_1825,SP_0243,n,n,N-N
SP_1824,SP_0243,n,n,N-N
SP_0242,SP_0243,n,n,N-N
SPD_1616,SPD_1617,n,n,N-N
SPD_1614,SPD_1617,n,n,N-N
rimP,nusA,n,y,N-E
nusG,nusA,n,y,N-E
SPD_1344,greA,n,y,N-E
SPD_0961,rpoD,y,y,E-E
cpoA,rpoD,n,y,N-E
groES,rpoD,n,y,N-E
SPD_0959,rpoD,n,y,N-E
clpX,rpoD,y,y,E-E
trpS,rpoD,y,y,E-E
nusA,rpoD,y,y,E-E
SPD_1312,rpoZ,n,y,N-E
SPD_0672,rpoZ,n,y,N-E
cshB,rpoZ,y,y,E-E
cshA,rpoZ,n,y,N-E
spr0502,rpoZ,n,y,N-E
spr0501,rpoZ,n,y,N-E
spr0500,rpoZ,n,y,N-E
spr0503,rpoZ,n,y,N-E
SPD_1367,rpoZ,n,y,N-E
SP_0575,rpoZ,n,y,N-E
nusA,rpoZ,y,y,E-E
greA,rpoZ,y,y,E-E
SPD_0802,rpoZ,n,y,N-E
rpoD,rpoZ,y,y,E-E
rpmG-2,rpmJ,n,n,N-N
rpmG-1,rpmJ,n,n,N-N
spr1856,spr0480,y,n,E-N
ppaC,atpC,y,y,E-E
tuf,atpC,y,y,E-E
ppaC,atpB,y,n,E-N
atpC,atpB,y,n,E-N
ppaC,atpF,y,y,E-E
atpC,atpF,y,y,E-E
atpB,atpF,n,y,N-E
ppaC,atpG,y,y,E-E
tuf,atpG,y,y,E-E
tsf,atpG,y,y,E-E
atpC,atpG,y,y,E-E
atpB,atpG,n,y,N-E
atpF,atpG,y,y,E-E
spr0480,infA,n,y,N-E
rpmG-2,rpmF,n,y,N-E
SPD_1136,rpmF,y,y,E-E
rpmG-1,rpmF,n,y,N-E
rnc,rpmF,n,y,N-E
rpmH,rpmF,y,y,E-E
yidC,rpmF,n,y,N-E
rpmG,rpmF,y,y,E-E
thrS,rpmF,y,y,E-E
rpmJ,rpmF,n,y,N-E
engB,SPD_1019,y,y,E-E
rpsA,SPD_1019,n,y,N-E
rsgA,SPD_1019,n,y,N-E
SPD_1019,SPD_1021,y,n,E-N
rpmH,rpsU,y,n,E-N
prmA,rpsU,n,n,N-N
rpmG-2,rplL,n,n,N-N
rpmG-1,rplL,n,n,N-N
rnc,rplL,n,n,N-N
groES,rplL,n,n,N-N
yidC,rplL,n,n,N-N
SPD_1850,rplL,y,n,E-N
thrS,rplL,y,n,E-N
nusA,rplL,y,n,E-N
rpmF,rplL,y,n,E-N
SPD_2032,rplI,n,n,N-N
rnc,rplI,n,n,N-N
SPD_2029,rplI,n,n,N-N
yidC,rplI,n,n,N-N
SPD_1850,rplI,y,n,E-N
thrS,rplI,y,n,E-N
rpmF,rplI,y,n,E-N
rplL,rplI,n,n,N-N
rrmA,rpsS,n,y,N-E
spr1856,rpsS,y,y,E-E
SPD_1553,rpsS,n,y,N-E
SPD_1408,rpsS,n,y,N-E
tehB,rpsS,n,y,N-E
rimM,rpsS,y,y,E-E
efp,rpsS,y,y,E-E
smpB,rpsS,n,y,N-E
tsf,rpsS,y,y,E-E
rpmJ,rpsS,n,y,N-E
infA,rpsS,y,y,E-E
era,rpsN,n,n,N-N
rpmH,rpsN,y,n,E-N
prfC,rpsN,n,n,N-N
adcA,rpsN,n,n,N-N
infA,rpsN,y,n,E-N
rpsS,rpsN,y,n,E-N
SPD_1136,rpsF,y,y,E-E
era,rpsF,n,y,N-E
rpmH,rpsF,y,y,E-E
rimM,rpsF,y,y,E-E
rplI,rpsF,n,y,N-E
rpsS,rpsF,y,y,E-E
rpsN,rpsF,n,y,N-E
spr1856,rplD,y,y,E-E
rpmG-2,rplD,n,y,N-E
rpmG-1,rplD,n,y,N-E
rnr,rplD,n,y,N-E
SPD_1312,rplD,n,y,N-E
rpsA,rplD,n,y,N-E
cshB,rplD,y,y,E-E
rnc,rplD,n,y,N-E
cshA,rplD,n,y,N-E
efp,rplD,y,y,E-E
smpB,rplD,n,y,N-E
yidC,rplD,n,y,N-E
SPD_1850,rplD,y,y,E-E
rpmG,rplD,y,y,E-E
tsf,rplD,y,y,E-E
thrS,rplD,y,y,E-E
atpF,rplD,y,y,E-E
infA,rplD,y,y,E-E
rpmF,rplD,y,y,E-E
rplL,rplD,n,y,N-E
rplI,rplD,n,y,N-E
rpsS,rplD,y,y,E-E
rpsN,rplD,n,y,N-E
rpsF,rplD,y,y,E-E
rnr,rpmC,n,n,N-N
rpmH,rpmC,y,n,E-N
efp,rpmC,y,n,E-N
tig,rpmC,n,n,N-N
rpmJ,rpmC,n,n,N-N
rpsS,rpmC,y,n,E-N
rpsN,rpmC,n,n,N-N
rpsF,rpmC,y,n,E-N
rplD,rpmC,y,n,E-N
rsfS,rplN,n,y,N-E
rnr,rplN,n,y,N-E
tuf,rplN,y,y,E-E
rpmJ,rplN,n,y,N-E
rpsU,rplN,n,y,N-E
rpsS,rplN,y,y,E-E
rpsN,rplN,n,y,N-E
rpsF,rplN,y,y,E-E
rplD,rplN,y,y,E-E
rpmC,rplN,n,y,N-E
rpmG-2,rplQ,n,y,N-E
rpmG-1,rplQ,n,y,N-E
rnc,rplQ,n,y,N-E
rpmH,rplQ,y,y,E-E
tuf,rplQ,y,y,E-E
yidC,rplQ,n,y,N-E
SPD_1850,rplQ,y,y,E-E
rpmG,rplQ,y,y,E-E
thrS,rplQ,y,y,E-E
rpmF,rplQ,y,y,E-E
rplL,rplQ,n,y,N-E
rplI,rplQ,n,y,N-E
rpsN,rplQ,n,y,N-E
rpsF,rplQ,y,y,E-E
rplD,rplQ,y,y,E-E
rpmC,rplQ,n,y,N-E
rplN,rplQ,y,y,E-E
coaA,rpsT,y,y,E-E
SPD_0731,rpsT,n,y,N-E
rpmH,rpsT,y,y,E-E
rpsU,rpsT,n,y,N-E
rpsS,rpsT,y,y,E-E
rpsN,rpsT,n,y,N-E
rpsF,rpsT,y,y,E-E
rplD,rpsT,y,y,E-E
rpmC,rpsT,n,y,N-E
rplN,rpsT,y,y,E-E
rplQ,rpsT,y,y,E-E
rnr,rplJ,n,y,N-E
rpsA,rplJ,n,y,N-E
tig,rplJ,n,y,N-E
nusG,rplJ,n,y,N-E
rpmG,rplJ,y,y,E-E
rplL,rplJ,n,y,N-E
rpsS,rplJ,y,y,E-E
rplD,rplJ,y,y,E-E
rpmC,rplJ,n,y,N-E
rplN,rplJ,y,y,E-E
rplQ,rplJ,y,y,E-E
rpmG-2,rplU,n,n,N-N
SPD_0990,rplU,n,n,N-N
SPD_1136,rplU,y,n,E-N
rpmG-1,rplU,n,n,N-N
rnc,rplU,n,n,N-N
rpmH,rplU,y,n,E-N
tig,rplU,n,n,N-N
yidC,rplU,n,n,N-N
SPD_1850,rplU,y,n,E-N
rpmG,rplU,y,n,E-N
tsf,rplU,y,n,E-N
thrS,rplU,y,n,E-N
rpmF,rplU,y,n,E-N
rpsU,rplU,n,n,N-N
rplL,rplU,n,n,N-N
rplI,rplU,n,n,N-N
rpsS,rplU,y,n,E-N
rpsN,rplU,n,n,N-N
rplD,rplU,y,n,E-N
rpmC,rplU,n,n,N-N
rpsT,rplU,y,n,E-N
SPD_1382,rpsB,y,n,E-N
era,rpsB,n,n,N-N
trmD,rpsB,y,n,E-N
rpsA,rpsB,n,n,N-N
efp,rpsB,y,n,E-N
tuf,rpsB,y,n,E-N
smpB,rpsB,n,n,N-N
tsf,rpsB,y,n,E-N
lysS,rpsB,y,n,E-N
rpoD,rpsB,y,n,E-N
infA,rpsB,y,n,E-N
rpsU,rpsB,n,n,N-N
rpsS,rpsB,y,n,E-N
rpsN,rpsB,n,n,N-N
rpsF,rpsB,y,n,E-N
rplD,rpsB,y,n,E-N
rpmC,rpsB,n,n,N-N
rplN,rpsB,y,n,E-N
trmD,rpsR,y,y,E-E
rimM,rpsR,y,y,E-E
smpB,rpsR,n,y,N-E
rplI,rpsR,n,y,N-E
rpsF,rpsR,y,y,E-E
rpmC,rpsR,n,y,N-E
rpsT,rpsR,y,y,E-E
rplU,rpsR,n,y,N-E
rnr,rpmD,n,n,N-N
rpmJ,rpmD,n,n,N-N
infA,rpmD,y,n,E-N
rpsU,rpmD,n,n,N-N
rpsF,rpmD,y,n,E-N
rpmC,rpmD,n,n,N-N
rpsB,rpmD,n,n,N-N
rpsR,rpmD,y,n,E-N
rpmG-2,rplP,n,y,N-E
rpmG-1,rplP,n,y,N-E
rnr,rplP,n,y,N-E
trmD,rplP,y,y,E-E
rnc,rplP,n,y,N-E
efp,rplP,y,y,E-E
smpB,rplP,n,y,N-E
nusG,rplP,n,y,N-E
rpmG,rplP,y,y,E-E
tsf,rplP,y,y,E-E
thrS,rplP,y,y,E-E
rpmJ,rplP,n,y,N-E
rpmF,rplP,y,y,E-E
rplL,rplP,n,y,N-E
rplI,rplP,n,y,N-E
rpsF,rplP,y,y,E-E
rpmC,rplP,n,y,N-E
rplU,rplP,n,y,N-E
rpsB,rplP,n,y,N-E
rpsR,rplP,y,y,E-E
rpmD,rplP,n,y,N-E
rpmG-2,rplW,n,n,N-N
rpmG-1,rplW,n,n,N-N
rnr,rplW,n,n,N-N
tig,rplW,n,n,N-N
rpsU,rplW,n,n,N-N
rpsF,rplW,y,n,E-N
rpmC,rplW,n,n,N-N
rplU,rplW,n,n,N-N
rpsB,rplW,n,n,N-N
rpsR,rplW,y,n,E-N
rpmD,rplW,n,n,N-N
rplP,rplW,y,n,E-N
rrmA,rpsL,n,y,N-E
spr1856,rpsL,y,y,E-E
SPD_1553,rpsL,n,y,N-E
SPD_1408,rpsL,n,y,N-E
tehB,rpsL,n,y,N-E
era,rpsL,n,y,N-E
trmD,rpsL,y,y,E-E
SPD_1312,rpsL,n,y,N-E
rpsA,rpsL,n,y,N-E
cshB,rpsL,y,y,E-E
cshA,rpsL,n,y,N-E
rimM,rpsL,y,y,E-E
tuf,rpsL,y,y,E-E
rpmJ,rpsL,n,y,N-E
infA,rpsL,y,y,E-E
rpsS,rpsL,y,y,E-E
rpsN,rpsL,n,y,N-E
rpsF,rpsL,y,y,E-E
rpmC,rpsL,n,y,N-E
rpsT,rpsL,y,y,E-E
rplJ,rpsL,y,y,E-E
rplU,rpsL,n,y,N-E
rpsR,rpsL,y,y,E-E
rpmD,rpsL,n,y,N-E
rplP,rpsL,y,y,E-E
rplW,rpsL,n,y,N-E
rpmG-2,rplC,n,n,N-N
rpmG-1,rplC,n,n,N-N
rnr,rplC,n,n,N-N
trmD,rplC,y,n,E-N
rnc,rplC,n,n,N-N
rimM,rplC,y,n,E-N
pgk,rplC,y,n,E-N
tuf,rplC,y,n,E-N
tig,rplC,n,n,N-N
yidC,rplC,n,n,N-N
SPD_1850,rplC,y,n,E-N
rpmG,rplC,y,n,E-N
tsf,rplC,y,n,E-N
thrS,rplC,y,n,E-N
rpmJ,rplC,n,n,N-N
rpmF,rplC,y,n,E-N
rplL,rplC,n,n,N-N
rplI,rplC,n,n,N-N
rpsS,rplC,y,n,E-N
rpsN,rplC,n,n,N-N
rpsF,rplC,y,n,E-N
rplD,rplC,y,n,E-N
rpmC,rplC,n,n,N-N
rplN,rplC,y,n,E-N
rplQ,rplC,y,n,E-N
rpsT,rplC,y,n,E-N
rplJ,rplC,y,n,E-N
rplU,rplC,n,n,N-N
rpmD,rplC,n,n,N-N
rplP,rplC,y,n,E-N
rplW,rplC,n,n,N-N
rpsS,rpmE,y,n,E-N
rpsN,rpmE,n,n,N-N
rpsF,rpmE,y,n,E-N
rplD,rpmE,y,n,E-N
rpmC,rpmE,n,n,N-N
rplN,rpmE,y,n,E-N
rplQ,rpmE,y,n,E-N
rpsT,rpmE,y,n,E-N
rplU,rpmE,n,n,N-N
rpmD,rpmE,n,n,N-N
rplP,rpmE,y,n,E-N
rplW,rpmE,n,n,N-N
SPD_0537,SPD_0539,n,n,N-N
htpX,SPD_2068,n,n,N-N
rlmH,SPD_2068,n,n,N-N
SPD_1574,SPD_2068,n,n,N-N
nspC,SPD_2068,n,n,N-N
SPD_0715,SPD_2068,n,n,N-N
prtA,SPD_2068,n,n,N-N
lctO,SPD_2068,n,n,N-N
SPD_0619,SPD_2068,n,n,N-N
SPD_0695,SPD_2068,n,n,N-N
SPD_0796,SPD_2068,n,n,N-N
SPD_1447,SPD_2068,n,n,N-N
lysA,SPD_2068,n,n,N-N
SPD_1433,SPD_2068,n,n,N-N
fni,SPD_2068,n,n,N-N
SPD_0378,SPD_2068,n,n,N-N
SPD_1061,udk,n,n,N-N
SPD_1895,udk,n,n,N-N
SPD_2068,udk,n,n,N-N
spr1990,glpK,n,n,N-N
spr1989,glpK,n,n,N-N
glpF,glpK,n,n,N-N
Aquaporin,glpK,n,n,N-N
SPD_1320,glpK,n,n,N-N
nspC,glpK,n,n,N-N
glpO,glpK,n,n,N-N
lysA,glpK,n,n,N-N
gldA,glpK,n,n,N-N
SPD_0773,glpK,n,n,N-N
SPD_2068,glpK,n,n,N-N
udk,glpK,n,n,N-N
uraA,pyrR,n,n,N-N
udk,pyrR,n,n,N-N
SPD_0735,cdd-1,n,n,N-N
SPD_0815,cdd-1,n,n,N-N
deoC,cdd-1,n,n,N-N
udk,cdd-1,n,n,N-N
SPD_0815,cdd-2,n,n,N-N
udk,cdd-2,n,n,N-N
cdd-1,cdd-2,n,n,N-N
Cdd,pdp,n,n,N-N
SPD_0739,pdp,n,n,N-N
SPD_1895,pdp,n,n,N-N
SPD_0735,pdp,n,n,N-N
deoC,pdp,n,n,N-N
udk,pdp,n,n,N-N
pyrR,pdp,n,n,N-N
cdd-1,pdp,n,n,N-N
cdd-2,pdp,n,n,N-N
SPD_0837,pyrH,n,y,N-E
SPD_0836,pyrH,n,y,N-E
SPD_0633,pyrH,n,y,N-E
tsf,pyrH,y,y,E-E
rpsB,pyrH,n,y,N-E
udk,pyrH,n,y,N-E
pyrR,pyrH,n,y,N-E
aroA,cmk,n,n,N-N
tyrA,cmk,n,n,N-N
rpsA,cmk,n,n,N-N
SPD_0633,cmk,n,n,N-N
udk,cmk,n,n,N-N
pyrR,cmk,n,n,N-N
pdp,cmk,n,n,N-N
SPD_0647,upp,n,n,N-N
uraA,upp,n,n,N-N
lacA,upp,n,n,N-N
udk,upp,n,n,N-N
pyrR,upp,n,n,N-N
pdp,upp,n,n,N-N
pyrH,upp,y,n,E-N
cmk,upp,n,n,N-N
SPD_1396,SPD_0699,n,n,N-N
SPD_0698,SPD_0699,n,n,N-N
SPD_0697,SPD_0699,n,n,N-N
SPD_0696,SPD_0699,n,n,N-N
SPD_0694,SPD_0699,n,n,N-N
SPD_0695,SPD_0699,n,n,N-N
SPD_1033,SPD_1034,n,n,N-N
SPD_1029,SPD_1034,n,n,N-N
SPD_0619,SPD_1034,n,n,N-N
SPD_0796,SPD_1034,n,n,N-N
SPD_1447,SPD_1034,n,n,N-N
SPD_1433,SPD_1034,n,n,N-N
SPD_0378,SPD_1034,n,n,N-N
SPD_2068,SPD_1034,n,n,N-N
pflB,pflA,n,n,N-N
SPD_0699,Acetyltransferase,n,n,N-N
SPD_1034,Acetyltransferase,n,n,N-N
SPD_1865,SPD_1834,n,n,N-N
SPD_0945,SPD_1834,n,n,N-N
ccpA,SPD_1834,n,n,N-N
nox,SPD_1834,n,n,N-N
ackA,SPD_1834,n,n,N-N
deoC,SPD_1834,n,n,N-N
pgk,SPD_1834,y,n,E-N
eno,SPD_1834,y,n,E-N
SPD_1636,SPD_1834,n,n,N-N
SPD_0265,SPD_1834,n,n,N-N
SPD_0773,SPD_1834,n,n,N-N
pflB,SPD_1834,n,n,N-N
msmR,SPD_1834,n,n,N-N
pflA,SPD_1834,n,n,N-N
SPD_0539,SPD_0191,n,n,N-N
SPD_2068,SPD_0191,n,n,N-N
udk,SPD_0191,n,n,N-N
